# feature_gene,class_gene,start,end,strand,symbol,locus_tag,feature_interval_length,attributes_gene,# feature_product,class_product,product_accession_product,name_product,product_length_product,attributes_product
gene,protein_coding,81691,82023,+,,PP_0071,333,,CDS,with_protein,AAN65705.2,conserved protein of unknown function,110.0,
gene,protein_coding,82151,83128,-,qor-I,PP_0072,978,,CDS,with_protein,AAN65706.1,quinone oxidoreductase,325.0,
gene,protein_coding,83261,84172,+,hemF,PP_0073,912,,CDS,with_protein,AAN65707.1,"Coproporphyrinogen-III oxidase, aerobic",303.0,
gene,protein_coding,84198,85022,+,aroE,PP_0074,825,,CDS,with_protein,AAN65708.1,shikimate 5-dehydrogenase,274.0,
gene,protein_coding,85152,86717,-,,PP_0075,1566,,CDS,with_protein,AAN65709.1,putative choline sulfate transporter,521.0,
gene,protein_coding,86862,87785,-,,PP_0076,924,,CDS,with_protein,AAN65710.2,putative choline betaine-binding protein,307.0,
gene,protein_coding,87800,89317,-,betC,PP_0077,1518,,CDS,with_protein,AAN65711.1,choline-sulfatase,505.0,
gene,protein_coding,89426,90325,+,,PP_0079,900,,CDS,with_protein,AAN65713.1,putative transcriptional regulator,299.0,
gene,protein_coding,90447,91064,-,,PP_0080,618,,CDS,with_protein,AAN65714.1,conserved protein of unknown function,205.0,
gene,protein_coding,91078,91449,+,,PP_0081,372,,CDS,with_protein,AAN65715.1,conserved protein of unknown function,123.0,
gene,protein_coding,91570,92379,-,trpA,PP_0082,810,,CDS,with_protein,AAN65716.1,tryptophan synthase alpha chain,269.0,
gene,protein_coding,92376,93593,-,trpB,PP_0083,1218,,CDS,with_protein,AAN65717.1,tryptophan synthase beta chain,405.0,
gene,protein_coding,93704,94600,+,trpI,PP_0084,897,,CDS,with_protein,AAN65718.1,HTH-type transcriptional regulator TrpI,298.0,
gene,protein_coding,94597,95085,-,,PP_0085,489,,CDS,with_protein,AAN65719.1,conserved protein of unknown function,162.0,
gene,protein_coding,95071,95286,+,,PP_0086,216,,CDS,with_protein,AAN65720.1,conserved protein of unknown function,71.0,
gene,protein_coding,95345,95608,+,,PP_0087,264,,CDS,with_protein,AAN65721.1,conserved exported protein of unknown function,87.0,
gene,protein_coding,95680,96684,-,,PP_0088,1005,,CDS,with_protein,AAN65722.1,putative alkanal monooxygenase,334.0,
gene,protein_coding,96837,97262,+,osmC,PP_0089,426,,CDS,with_protein,AAN65723.1,"stress-induced peroxiredoxin, lipoyl-dependent peroxidase",141.0,
gene,protein_coding,97275,97571,+,,PP_0090,297,,CDS,with_protein,AAN65724.1,conserved exported protein of unknown function,98.0,
gene,protein_coding,97607,98020,-,,PP_0091,414,,CDS,with_protein,AAN65725.1,putative lipoprotein,137.0,
gene,protein_coding,98076,98489,-,,PP_0092,414,,CDS,with_protein,AAN65726.1,putative lipoprotein,137.0,
gene,protein_coding,98575,99651,+,,PP_0093,1077,,CDS,with_protein,AAN65727.2,putative zinc protease protein,358.0,
gene,protein_coding,99758,100408,-,,PP_0094,651,,CDS,with_protein,AAN65728.1,5'-nucleotidase,216.0,
gene,protein_coding,100530,101078,-,yrdA,PP_0095,549,,CDS,with_protein,AAN65729.1,putative enzyme of unknown function,182.0,
gene,protein_coding,101181,103232,+,prlC,PP_0096,2052,,CDS,with_protein,AAN65730.1,oligopeptidase A,683.0,
gene,protein_coding,103229,103510,+,,PP_0097,282,,CDS,with_protein,AAN65731.1,conserved protein of unknown function,93.0,
gene,protein_coding,103529,103702,+,,PP_0098,174,,CDS,with_protein,AAN65732.1,conserved protein of unknown function,57.0,
gene,protein_coding,103842,104900,+,,PP_0099,1059,,CDS,with_protein,AAN65733.1,conserved protein of unknown function,352.0,
gene,protein_coding,105207,105926,+,cynT,PP_0100,720,,CDS,with_protein,AAN65734.1,carbonic anhydrase,239.0,
gene,protein_coding,106134,107651,+,,PP_0101,1518,,CDS,with_protein,AAN65735.1,putative sulfate transporter,505.0,
gene,protein_coding,107799,108440,-,,PP_5426,642,,CDS,with_protein,AMM02753.1,conserved protein of unknown function,213.0,
gene,protein_coding,108810,109937,+,,PP_0103,1128,,CDS,with_protein,AAN65737.1,cytochrome c oxidase subunit 2,375.0,
gene,protein_coding,109981,111570,+,ctaD,PP_0104,1590,,CDS,with_protein,AAN65738.1,Cytochrome c oxidase subunit 1,529.0,
gene,protein_coding,111580,112146,+,,PP_0105,567,,CDS,with_protein,AAN65739.1,Cytochrome C oxidase assembly protein,188.0,
gene,protein_coding,112163,113050,+,,PP_0106,888,,CDS,with_protein,AAN65740.1,cytochrome c oxidase subunit 3,295.0,
gene,protein_coding,113082,113285,-,,PP_5427,204,,CDS,with_protein,AMM02754.1,conserved exported protein of unknown function,67.0,
gene,protein_coding,113337,114074,+,,PP_0107,738,,CDS,with_protein,AAN65741.2,conserved protein of unknown function,245.0,
gene,protein_coding,114043,114624,+,,PP_0108,582,,CDS,with_protein,AAN65742.1,conserved protein of unknown function,193.0,
gene,protein_coding,114634,115713,+,,PP_0109,1080,,CDS,with_protein,AAN65743.1,conserved membrane protein of unknown function,359.0,
gene,protein_coding,115698,116591,+,,PP_0110,894,,CDS,with_protein,AAN65744.1,CyoE like protoheme IX farnesyltransferase,297.0,
gene,protein_coding,116588,117220,+,,PP_0111,633,,CDS,with_protein,AAN65745.1,Electron transport protein SCO1/SenC,210.0,
gene,protein_coding,117314,118084,-,metQ,PP_0112,771,,CDS,with_protein,AAN65746.1,"methionine ABC transporter, periplasmic binding protein",256.0,
gene,protein_coding,118149,118820,-,metI,PP_0113,672,,CDS,with_protein,AAN65747.1,"methionine ABC transporter, permease protein",223.0,
gene,protein_coding,118820,119827,-,metN,PP_0114,1008,,CDS,with_protein,AAN65748.1,methionine ABC transporter ATP-binding protein,335.0,
gene,protein_coding,120055,122190,+,katE,PP_0115,2136,,CDS,with_protein,AAN65749.1,hydroperoxidase - self catalytic heme d synthase,711.0,
gene,protein_coding,122251,122958,-,,PP_0116,708,,CDS,with_protein,AAN65750.1,putative lipoprotein,235.0,
gene,protein_coding,123085,123867,-,znuB,PP_0117,783,,CDS,with_protein,AAN65751.1,Zn(2+) ABC transporter - permease subunit,260.0,
gene,protein_coding,123860,124633,-,znuC,PP_0118,774,,CDS,with_protein,AAN65752.1,zinc import ATP-binding protein,257.0,
gene,protein_coding,124630,125115,-,,PP_0119,486,,CDS,with_protein,AAN65753.2,putative zinc uptake regulation protein ZUR,161.0,
gene,protein_coding,125182,126090,+,,PP_0120,909,,CDS,with_protein,AAN65754.1,putative zinc ABC transporter,302.0,
gene,protein_coding,126140,127090,-,thrB,PP_0121,951,,CDS,with_protein,AAN65755.1,homoserine kinase,316.0,
gene,protein_coding,127160,127447,-,,PP_0122,288,,CDS,with_protein,AAN65756.1,conserved exported protein of unknown function,95.0,
gene,protein_coding,127523,130270,+,polA,PP_0123,2748,,CDS,with_protein,AAN65757.1,"DNA polymerase I, 5' -> 3' polymerase with 5' --> 3' and 3' --> 5' exonuclease activity",915.0,
gene,snoRNA,130441,130556,+,,PP_mr02,116,,ncRNA,snoRNA,,Pseudomon-1 ncRNA,,
gene,protein_coding,130641,131273,-,engB,PP_0124,633,,CDS,with_protein,AAN65758.1,probable GTP-binding protein,210.0,
gene,protein_coding,131475,131777,+,,PP_0125,303,,CDS,with_protein,AAN65759.1,putative cytochrome c-type protein,100.0,
gene,protein_coding,131809,132426,+,cc,PP_0126,618,,CDS,with_protein,AAN65760.1,Cytochrome c4,205.0,
gene,protein_coding,132578,133210,+,dsbA,PP_0127,633,,CDS,with_protein,AAN65761.1,Thiol:disulfide interchange protein,210.0,
gene,protein_coding,133223,134077,+,,PP_0128,855,,CDS,with_protein,AAN65762.1,conserved protein of unknown function,284.0,
gene,protein_coding,134105,136042,+,,PP_0129,1938,,CDS,with_protein,AAN65763.1,GGDEF domain protein,645.0,
gene,protein_coding,136116,136904,+,amiD,PP_0130,789,,CDS,with_protein,AAN65764.1,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase",262.0,
gene,protein_coding,137100,138707,+,,PP_0131,1608,,CDS,with_protein,AAN65765.1,putative membrane-anchored phosphodiesterase,535.0,
gene,protein_coding,138722,140503,-,kinB,PP_0132,1782,,CDS,with_protein,AAN65766.1,Alginate biosynthesis sensor protein KinB,593.0,
gene,protein_coding,140500,141846,-,algB,PP_0133,1347,,CDS,with_protein,AAN65767.1,Alginate biosynthesis transcriptional regulatory protein AlgB,448.0,
gene,protein_coding,142057,142878,+,,PP_0134,822,,CDS,with_protein,AAN65768.1,conserved exported protein of unknown function,273.0,
gene,protein_coding,143053,143343,+,,PP_5428,291,,CDS,with_protein,AMM02755.1,conserved exported protein of unknown function,96.0,
gene,protein_coding,143387,143548,+,,PP_0135,162,,CDS,with_protein,AAN65769.1,conserved exported protein of unknown function,53.0,
gene,protein_coding,143551,144021,+,,PP_0136,471,,CDS,with_protein,AAN65770.1,conserved exported protein of unknown function,156.0,
gene,protein_coding,144767,146095,+,gltP,PP_0137,1329,,CDS,with_protein,AAN65771.1,glutamate/aspartate-proton DAACS transporter,442.0,
gene,protein_coding,146243,147472,+,,PP_0138,1230,,CDS,with_protein,AAN65772.1,conserved membrane protein of unknown function,409.0,
gene,protein_coding,147454,148089,-,,PP_0139,636,,CDS,with_protein,AAN65773.1,putative Lipoprotein,211.0,
gene,protein_coding,148086,149024,-,,PP_0140,939,,CDS,with_protein,AAN65774.1,conserved protein of unknown function,312.0,
gene,protein_coding,149028,149819,-,,PP_0141,792,,CDS,with_protein,AAN65775.1,"putative ABC transporter, ATP-binding protein",263.0,
gene,protein_coding,149816,150949,-,,PP_0142,1134,,CDS,with_protein,AAN65776.1,"putative ABC transporter, permease protein",377.0,
gene,protein_coding,151081,152106,-,,PP_0143,1026,,CDS,with_protein,AAN65777.1,conserved membrane protein of unknown function,341.0,
gene,protein_coding,152200,153606,-,,PP_0144,1407,,CDS,with_protein,AAN65778.1,"Metalloprotease, insulinase family",468.0,
gene,protein_coding,153637,155295,-,yjbB,PP_0145,1659,,CDS,with_protein,AAN65779.1,Na+/Pi-cotransporter,552.0,
gene,protein_coding,155578,156375,-,ygdQ,PP_0146,798,,CDS,with_protein,AAN65780.1,putative transport protein,265.0,
gene,protein_coding,156418,157725,-,citN,PP_0147,1308,,CDS,with_protein,AAN65781.1,Citrate transporter,435.0,
gene,protein_coding,157990,158394,+,,PP_0148,405,,CDS,with_protein,AAN65782.1,conserved protein of unknown function,134.0,
gene,protein_coding,158433,160388,-,,PP_0149,1956,,CDS,with_protein,AAN65783.1,conserved exported protein of unknown function,651.0,
gene,protein_coding,160385,160705,-,,PP_0150,321,,CDS,with_protein,AAN65784.1,conserved exported protein of unknown function,106.0,
gene,protein_coding,160742,161035,-,,PP_0151,294,,CDS,with_protein,AAN65785.1,conserved exported protein of unknown function,97.0,
gene,protein_coding,161125,161505,-,,PP_0152,381,,CDS,with_protein,AAN65786.1,conserved exported protein of unknown function,126.0,
gene,protein_coding,161751,161966,-,,PP_0153,216,,CDS,with_protein,AAN65787.1,hypothetical protein,71.0,
gene,protein_coding,162340,163833,-,scpC,PP_0154,1494,,CDS,with_protein,AAN65788.1,propionyl-CoA:succinate CoA transferase,497.0,
gene,protein_coding,164020,165456,-,pntB,PP_0155,1437,,CDS,with_protein,AAN65789.1,"pyridine nucleotide transhydrogenase, beta subunit",478.0,
gene,protein_coding,165459,165773,-,pntAB,PP_5747,315,,CDS,with_protein,AMM02756.1,pyridine nucleotide transhydrogenase subunit alpha,104.0,
gene,protein_coding,165785,166906,-,pntAA,PP_0156,1122,,CDS,with_protein,AMM02757.1,pyridine nucleotide transhydrogenase subunit alpha,373.0,
gene,protein_coding,167326,168243,-,gcdR,PP_0157,918,,CDS,with_protein,AAN65790.1,"transcriptional activator of gcdH, LysR family",305.0,
gene,protein_coding,168404,169585,+,gcdH,PP_0158,1182,,CDS,with_protein,AAN65791.1,glutaryl-CoA dehydrogenase,393.0,
gene,protein_coding,169599,170819,+,,PP_0159,1221,,CDS,with_protein,AAN65792.1,putative CoA-transferase family III,406.0,
gene,rRNA,171389,172910,+,,PP_16SA,1522,,rRNA,,,16S ribosomal RNA,,
gene,rRNA,173203,176104,+,,PP_23SA,2902,,rRNA,,,23S ribosomal RNA,,
gene,rRNA,176237,176356,+,,PP_5SA,120,,rRNA,,,5S ribosomal RNA,,
gene,rRNA,176819,178340,+,,PP_16SB,1522,,rRNA,,,16S ribosomal RNA,,
gene,rRNA,178633,181534,+,,PP_23SB,2902,,rRNA,,,23S ribosomal RNA,,
gene,rRNA,181667,181786,+,,PP_r01,120,,rRNA,,,5S ribosomal RNA,,
gene,rRNA,181892,182011,+,,PP_5SB,120,,rRNA,,,5S ribosomal RNA,,
gene,protein_coding,182076,184562,-,,PP_0160,2487,,CDS,with_protein,AAN65793.1,putative ferrioxamine receptor,828.0,
gene,protein_coding,184656,185612,-,,PP_0161,957,,CDS,with_protein,AAN65794.1,putative transmembrane sensor,318.0,
gene,protein_coding,185617,186138,-,,PP_0162,522,,CDS,with_protein,AAN65795.1,"RNA polymerase sigma-70 factor, ECF subfamily",173.0,
gene,protein_coding,186227,186916,-,,PP_0163,690,,CDS,with_protein,AAN65796.1,putative transcriptional regulator,229.0,
gene,protein_coding,187189,187881,+,,PP_0164,693,,CDS,with_protein,AAN65797.2,conserved protein of unknown function,230.0,
gene,protein_coding,187892,189838,+,,PP_0165,1947,,CDS,with_protein,AAN65798.1,GGDEF domain protein,648.0,
gene,protein_coding,189995,191371,-,,PP_0166,1377,,CDS,with_protein,AAN65799.1,HlyD family secretion protein,458.0,
gene,protein_coding,191361,193517,-,paxB,PP_0167,2157,,CDS,with_protein,AAN65800.1,Toxin secretion ATP-binding protein,718.0,
gene,protein_coding,193581,193796,-,,PP_5429,216,,CDS,with_protein,AMM02758.1,protein of unknown function,71.0,
gene,protein_coding,193882,194085,-,,PP_5430,204,,CDS,with_protein,AMM02759.1,protein of unknown function,67.0,
gene,protein_coding,194495,220543,+,,PP_0168,26049,,CDS,with_protein,AAN65801.1,putative surface adhesion protein,8682.0,
gene,protein_coding,220671,221030,+,,PP_5431,360,,CDS,with_protein,AMM02760.1,conserved protein of unknown function,119.0,
gene,protein_coding,221229,222128,+,,PP_0169,900,,CDS,with_protein,AAN65802.1,"Dioxygenase, TauD/TfdA family",299.0,
gene,protein_coding,222146,223165,+,,PP_0170,1020,,CDS,with_protein,AAN65803.1,"ABC transporter, periplasmic binding protein",339.0,
gene,protein_coding,223172,224035,+,,PP_0171,864,,CDS,with_protein,AAN65804.1,"ABC transporter, ATP-binding protein",287.0,
gene,protein_coding,224050,224913,+,,PP_0172,864,,CDS,with_protein,AAN65805.1,"ABC transporter, permease protein",287.0,
gene,protein_coding,225031,225660,-,,PP_0173,630,,CDS,with_protein,AAN65806.1,putative transcriptional factor-related protein,209.0,
gene,protein_coding,225775,226593,+,,PP_0174,819,,CDS,with_protein,AAN65807.1,conserved protein of unknown function,272.0,
gene,protein_coding,226726,227178,+,,PP_0175,453,,CDS,with_protein,AAN65808.1,putative transcriptional regulator,150.0,
gene,protein_coding,227175,229262,+,,PP_0176,2088,,CDS,with_protein,AAN65809.1,putative efflux transporter,695.0,
gene,protein_coding,229259,229471,+,,PP_0177,213,,CDS,with_protein,AAN65810.1,conserved protein of unknown function,70.0,
gene,protein_coding,229468,230343,+,,PP_0178,876,,CDS,with_protein,AAN65811.1,putative efflux pump,291.0,
gene,protein_coding,230340,231758,+,,PP_0179,1419,,CDS,with_protein,AAN65812.1,putative efflux transporter,472.0,
gene,protein_coding,231902,233812,+,,PP_0180,1911,,CDS,with_protein,AAN65813.1,putative cytochrome c family protein,636.0,
gene,protein_coding,233875,234120,-,,PP_0181,246,,CDS,with_protein,AAN65814.1,conserved protein of unknown function,81.0,
gene,protein_coding,234190,234492,-,,PP_0182,303,,CDS,with_protein,AAN65815.1,conserved protein of unknown function,100.0,
gene,protein_coding,234641,235303,+,,PP_0183,663,,CDS,with_protein,AAN65816.1,glutathione S-transferase,220.0,
gene,protein_coding,235428,236834,-,argH,PP_0184,1407,,CDS,with_protein,AAN65817.1,Argininosuccinate lyase,468.0,
gene,protein_coding,237120,237863,+,algR,PP_0185,744,,CDS,with_protein,AAN65818.1,Positive alginate biosynthesis regulatory protein,247.0,
gene,protein_coding,237982,238923,+,hemC,PP_0186,942,,CDS,with_protein,AAN65819.1,Porphobilinogen deaminase,313.0,
gene,protein_coding,238920,239687,+,hemD,PP_0187,768,,CDS,with_protein,AAN65820.1,Uroporphyrinogen-III synthase,255.0,
gene,protein_coding,239706,240833,+,,PP_0188,1128,,CDS,with_protein,AAN65821.1,putative Uroporphyrin-III C-methyltransferase,375.0,
gene,protein_coding,240830,242068,+,,PP_0189,1239,,CDS,with_protein,AAN65822.1,putative heme biosynthesis protein,412.0,
gene,protein_coding,242291,242797,+,,PP_0190,507,,CDS,with_protein,AAN65823.1,putative disulfide bond formation protein B,168.0,
gene,protein_coding,243029,243499,+,algQ,PP_0191,471,,CDS,with_protein,AAN65824.1,Transcriptional regulatory protein AlgQ,156.0,
gene,protein_coding,243508,244170,-,fkl,PP_0192,663,,CDS,with_protein,AAN65825.1,putative FKBP-type 25 kDa peptidyl-prolyl cis-trans isomerase,220.0,
gene,protein_coding,244325,245314,+,algP,PP_0194,990,,CDS,with_protein,AAN65827.1,Transcriptional regulatory protein AlgP,329.0,
gene,protein_coding,245293,245772,-,,PP_0195,480,,CDS,with_protein,AAN65828.1,conserved protein of unknown function,159.0,
gene,protein_coding,245823,247733,+,yheS,PP_0196,1911,,CDS,with_protein,AAN65829.1,putative of ABC superfamily informational factor: ATP-binding components,636.0,
gene,protein_coding,247733,248320,+,,PP_0197,588,,CDS,with_protein,AAN65830.1,conserved protein of unknown function,195.0,
gene,protein_coding,248420,249052,+,,PP_0198,633,,CDS,with_protein,AAN65831.1,putative transporter,210.0,
gene,protein_coding,249101,249847,-,qmcA,PP_0199,747,,CDS,with_protein,AAN65832.1,"putative membrane protease family, stomatin",248.0,
