# ANI ranges report for assembly: GCA_000007565.2
# Submitted organism: Pseudomonas putida KT2440 (taxid = 160488, rank = no rank, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas)
# Submitted Organism Has Type Assembly: Yes
# Best match: Pseudomonas putida (taxid = 303, rank = species, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AE015451.2	CIRCULAR	90608	97567	6181873	CP101910.1	82158	89142	GCA_024508115.1	Pseudomonas putida	89.249	96	0.112587
-	AE015451.2	CIRCULAR	97585	99679	6181873	CP101910.1	89235	91325	GCA_024508115.1	Pseudomonas putida	89.4286	96	0.0338894
-	AE015451.2	CIRCULAR	99733	103510	6181873	CP101910.1	91405	95182	GCA_024508115.1	Pseudomonas putida	92.3789	96	0.0611142
-	AE015451.2	CIRCULAR	103771	104900	6181873	CP101910.1	95192	96321	GCA_024508115.1	Pseudomonas putida	86.3074	96	0.0182792
-	AE015451.2	CIRCULAR	104960	107649	6181873	CP101910.1	96496	99183	GCA_024508115.1	Pseudomonas putida	90.7469	96	0.0435143
-	AE015451.2	CIRCULAR	107790	113048	6181873	CP101910.1	99303	104561	GCA_024508115.1	Pseudomonas putida	93.7452	96	0.0850713
-	AE015451.2	CIRCULAR	113081	117221	6181873	CP101910.1	104674	108814	GCA_024508115.1	Pseudomonas putida	89.9565	96	0.0669862
-	AE015451.2	CIRCULAR	117318	122188	6181873	CP101910.1	108940	113819	GCA_024508115.1	Pseudomonas putida	91.8305	96	0.0787949
-	AE015451.2	CIRCULAR	122256	126122	6181873	CP101910.1	113937	117804	GCA_024508115.1	Pseudomonas putida	91.9485	96	0.0625539
-	AE015451.2	CIRCULAR	126123	130561	6181873	CP101910.1	117929	122367	GCA_024508115.1	Pseudomonas putida	91.9485	96	0.0718067
-	AE015451.2	CIRCULAR	130648	136905	6181873	CP101910.1	122509	128760	GCA_024508115.1	Pseudomonas putida	90.0605	96	0.101231
S	AE015451.2	CIRCULAR	137041	138688	6181873	CP114035.2	129634	131281	GCA_026898135.2	Pseudomonas fortuita	90.4733	96	0.0266586
-	AE015451.2	CIRCULAR	138689	146166	6181873	CP101910.1	130658	138164	GCA_024508115.1	Pseudomonas putida	89.6396	96	0.120967
-	AE015451.2	CIRCULAR	146180	155440	6181873	CP101910.1	138268	147536	GCA_024508115.1	Pseudomonas putida	90.1324	96	0.149809
-	AE015451.2	CIRCULAR	155531	158369	6181873	CP101910.1	147545	150382	GCA_024508115.1	Pseudomonas putida	92.5678	96	0.0459246
-	AE015451.2	CIRCULAR	158435	162153	6181873	CP101910.1	150537	154250	GCA_024508115.1	Pseudomonas putida	87.4833	96	0.0601598
S	AE015451.2	CIRCULAR	162154	162331	6181873	CP114035.2	154941	155118	GCA_026898135.2	Pseudomonas fortuita	72.6316	96	0.00287939
-	AE015451.2	CIRCULAR	162332	171036	6181873	CP101910.1	154439	163158	GCA_024508115.1	Pseudomonas putida	90.0642	96	0.140815
S	AE015451.2	CIRCULAR	171037	171137	6181873	CP034338.1	120598	120698	GCA_003940825.1	Pseudomonas oryziphila	87.2549	96	0.00163381
S	AE015451.2	CIRCULAR	171138	171257	6181873	BLXR01000120.1	26	145	GCA_013373935.1	Pseudomonas faucium	99.1667	96	0.00194116
-	AE015451.2	CIRCULAR	171258	172959	6181873	JACAQQ010000023.1	1	1702	GCA_013387005.1	Pseudomonas putida	99.1774	96	0.0275321
-	AE015451.2	CIRCULAR	172983	178402	6181873	CP101910.1	165130	170541	GCA_024508115.1	Pseudomonas putida	98.783	96	0.0876757
S	AE015451.2	CIRCULAR	178423	181834	6181873	BLJF01000002.1	362545	365943	GCA_009932335.1	Pseudomonas asiatica	98.7984	96	0.0551936
-	AE015451.2	CIRCULAR	181835	182063	6181873	CP101910.1	174178	174406	GCA_024508115.1	Pseudomonas putida	98.69	96	0.00370438
-	AE015451.2	CIRCULAR	182078	189838	6181873	CP101910.1	174480	182247	GCA_024508115.1	Pseudomonas putida	88.6987	96	0.125544
S	AE015451.2	CIRCULAR	189839	189993	6181873	BLJF01000002.1	9695	9847	GCA_009932335.1	Pseudomonas asiatica	67.2727	96	0.00250733
-	AE015451.2	CIRCULAR	189994	193747	6181873	CP101910.1	182394	186148	GCA_024508115.1	Pseudomonas putida	90.7881	96	0.0607259
S	AE015451.2	CIRCULAR	193748	193890	6181873	BLJG01000139.1	11948	12092	GCA_009932375.1	Pseudomonas juntendi	70.2703	96	0.00231321
-	AE015451.2	CIRCULAR	194242	195323	6181873	CP101910.1	186668	187755	GCA_024508115.1	Pseudomonas putida	85.8716	96	0.0175028
-	AE015451.2	CIRCULAR	195326	198331	6181873	CP101910.1	189258	192263	GCA_024508115.1	Pseudomonas putida	90.2958	96	0.048626
S	AE015451.2	CIRCULAR	198332	198778	6181873	BBIS01000117.1	530	979	GCA_000730605.1	Pseudomonas monteilii	80.0443	95.5	0.00723082
-	AE015451.2	CIRCULAR	198779	198922	6181873	JACAQQ010000033.1	129	272	GCA_013387005.1	Pseudomonas putida	89.5833	96	0.00232939
-	AE015451.2	CIRCULAR	198989	199315	6181873	CP101910.1	192924	193250	GCA_024508115.1	Pseudomonas putida	91.1315	96	0.00528966
-	AE015451.2	CIRCULAR	199324	199579	6181873	CP101910.1	192602	192857	GCA_024508115.1	Pseudomonas putida	87.8906	96	0.00414114
S	AE015451.2	CIRCULAR	199646	199950	6181873	CP114035.2	187594	187898	GCA_026898135.2	Pseudomonas fortuita	89.5082	96	0.00493378
-	AE015451.2	CIRCULAR	199981	200290	6181873	CP101910.1	193916	194225	GCA_024508115.1	Pseudomonas putida	87.4194	96	0.00501466
-	AE015451.2	CIRCULAR	200303	200633	6181873	CP101910.1	193581	193911	GCA_024508115.1	Pseudomonas putida	90.6344	96	0.00535436
-	AE015451.2	CIRCULAR	200638	200893	6181873	CP101910.1	201221	201476	GCA_024508115.1	Pseudomonas putida	88.6719	96	0.00414114
-	AE015451.2	CIRCULAR	200948	201286	6181873	CP101910.1	198870	199208	GCA_024508115.1	Pseudomonas putida	88.4956	96	0.00548377
-	AE015451.2	CIRCULAR	201287	201406	6181873	JACAQQ010000033.1	273	392	GCA_013387005.1	Pseudomonas putida	89.1667	96	0.00194116
S	AE015451.2	CIRCULAR	201479	201616	6181873	CP114035.2	189445	189582	GCA_026898135.2	Pseudomonas fortuita	85.5072	96	0.00223233
-	AE015451.2	CIRCULAR	201617	201939	6181873	CP101910.1	197550	197872	GCA_024508115.1	Pseudomonas putida	89.4737	96	0.00522495
S	AE015451.2	CIRCULAR	201940	202273	6181873	BBIS01000098.1	504	837	GCA_000730605.1	Pseudomonas monteilii	84.1791	95.5	0.00540289
-	AE015451.2	CIRCULAR	202274	202579	6181873	CP101910.1	199539	199844	GCA_024508115.1	Pseudomonas putida	91.1765	96	0.00494996
-	AE015451.2	CIRCULAR	202612	202864	6181873	CP101910.1	195914	196166	GCA_024508115.1	Pseudomonas putida	85.4902	96	0.00409261
-	AE015451.2	CIRCULAR	202931	203252	6181873	CP101910.1	196233	196554	GCA_024508115.1	Pseudomonas putida	86.3354	96	0.00520878
-	AE015451.2	CIRCULAR	203270	203524	6181873	CP101910.1	197886	198140	GCA_024508115.1	Pseudomonas putida	87.8431	96	0.00412496
-	AE015451.2	CIRCULAR	203591	203899	6181873	CP101910.1	200868	201176	GCA_024508115.1	Pseudomonas putida	86.4516	96	0.00499849
-	AE015451.2	CIRCULAR	204266	204591	6181873	CP101910.1	198207	198532	GCA_024508115.1	Pseudomonas putida	84.1945	96	0.00527348
S	AE015451.2	CIRCULAR	204595	205023	6181873	JMIT01000008.1	4041	4454	GCA_000731675.1	Pseudomonas capeferrum	83.4884	96	0.00693964
S	AE015451.2	CIRCULAR	205329	205627	6181873	JAKNRD010000249.1	1034	1335	GCA_022548835.1	Pseudomonas capeferrum	82.0847	96	0.00483672
-	AE015451.2	CIRCULAR	205693	205939	6181873	AP013070.1	191196	191442	GCA_000412675.1	Pseudomonas putida	85.0806	96	0.00399555
-	AE015451.2	CIRCULAR	205989	206196	6181873	AP013070.1	196922	197129	GCA_000412675.1	Pseudomonas putida	87.1429	96	0.00336468
-	AE015451.2	CIRCULAR	206276	206584	6181873	CP101910.1	202215	202523	GCA_024508115.1	Pseudomonas putida	87.055	96	0.00499849
-	AE015451.2	CIRCULAR	206664	206871	6181873	AP013070.1	193535	193742	GCA_000412675.1	Pseudomonas putida	90.8654	96	0.00336468
-	AE015451.2	CIRCULAR	206951	207259	6181873	CP101910.1	208247	208555	GCA_024508115.1	Pseudomonas putida	87.055	96	0.00499849
-	AE015451.2	CIRCULAR	207324	207531	6181873	AP013070.1	192863	193070	GCA_000412675.1	Pseudomonas putida	91.8269	96	0.00336468
-	AE015451.2	CIRCULAR	207611	207919	6181873	CP101910.1	215597	215905	GCA_024508115.1	Pseudomonas putida	86.0841	96	0.00499849
S	AE015451.2	CIRCULAR	207951	208246	6181873	CP077097.1	155966	156261	GCA_014269225.2	Pseudomonas anuradhapurensis	86.1953	96	0.00478819
-	AE015451.2	CIRCULAR	208271	208578	6181873	CP101910.1	202899	203206	GCA_024508115.1	Pseudomonas putida	86.4516	96	0.00498231
-	AE015451.2	CIRCULAR	208609	208864	6181873	CP101910.1	201893	202148	GCA_024508115.1	Pseudomonas putida	90.625	96	0.00414114
S	AE015451.2	CIRCULAR	208865	209007	6181873	JHYV01000020.1	120460	120602	GCA_000621245.1	Pseudomonas monteilii	89.5833	95.5	0.00231321
-	AE015451.2	CIRCULAR	209008	209170	6181873	AP013070.1	197286	197448	GCA_000412675.1	Pseudomonas putida	87.7301	96	0.00263674
S	AE015451.2	CIRCULAR	209267	209531	6181873	JMIT01000008.1	6034	6298	GCA_000731675.1	Pseudomonas capeferrum	85.0187	96	0.00428673
-	AE015451.2	CIRCULAR	209591	209899	6181873	CP101910.1	212210	212518	GCA_024508115.1	Pseudomonas putida	85.1133	96	0.00499849
-	AE015451.2	CIRCULAR	209942	210184	6181873	CP101910.1	207938	208180	GCA_024508115.1	Pseudomonas putida	89.7119	96	0.00393085
-	AE015451.2	CIRCULAR	210251	210559	6181873	CP101910.1	212882	213190	GCA_024508115.1	Pseudomonas putida	87.4194	96	0.00499849
-	AE015451.2	CIRCULAR	210602	210910	6181873	CP101910.1	213920	214228	GCA_024508115.1	Pseudomonas putida	84.3042	96	0.00499849
-	AE015451.2	CIRCULAR	210911	211219	6181873	CP101910.1	205602	205900	GCA_024508115.1	Pseudomonas putida	84.3042	96	0.00499849
-	AE015451.2	CIRCULAR	211265	211573	6181873	CP101910.1	211894	212197	GCA_024508115.1	Pseudomonas putida	86.1905	96	0.00499849
-	AE015451.2	CIRCULAR	211574	211894	6181873	CP101910.1	207575	207895	GCA_024508115.1	Pseudomonas putida	86.1905	96	0.0051926
S	AE015451.2	CIRCULAR	211895	212107	6181873	BBIS01000096.1	137	349	GCA_000730605.1	Pseudomonas monteilii	92.0188	95.5	0.00344556
S	AE015451.2	CIRCULAR	212108	212245	6181873	CP114035.2	188113	188250	GCA_026898135.2	Pseudomonas fortuita	89.8551	96	0.00223233
-	AE015451.2	CIRCULAR	212262	212485	6181873	AP013070.1	195206	195429	GCA_000412675.1	Pseudomonas putida	85.2679	96	0.0036235
S	AE015451.2	CIRCULAR	212486	212586	6181873	BBIS01000096.1	728	828	GCA_000730605.1	Pseudomonas monteilii	88.1188	95.5	0.00163381
-	AE015451.2	CIRCULAR	212587	212839	6181873	CP101910.1	207268	207520	GCA_024508115.1	Pseudomonas putida	89.3281	96	0.00409261
S	AE015451.2	CIRCULAR	212840	213062	6181873	BBIS01000096.1	1082	1304	GCA_000730605.1	Pseudomonas monteilii	87.8924	95.5	0.00360732
-	AE015451.2	CIRCULAR	213063	213213	6181873	CP101910.1	209061	209211	GCA_024508115.1	Pseudomonas putida	74.8387	96	0.00244263
S	AE015451.2	CIRCULAR	213214	213439	6181873	JABWRY020000022.1	1	226	GCA_014269205.2	Pseudomonas kermanshahensis	86.7257	96	0.00365585
S	AE015451.2	CIRCULAR	213440	213565	6181873	BBIS01000038.1	390	515	GCA_000730605.1	Pseudomonas monteilii	80.1527	95.5	0.00203822
-	AE015451.2	CIRCULAR	213566	213873	6181873	CP101910.1	216269	216576	GCA_024508115.1	Pseudomonas putida	86.7314	96	0.00498231
-	AE015451.2	CIRCULAR	213917	214093	6181873	CP101910.1	217307	217483	GCA_024508115.1	Pseudomonas putida	86.5169	96	0.00286321
S	AE015451.2	CIRCULAR	214094	214225	6181873	CP119325.1	354593	354724	GCA_029202525.1	Candidatus Pseudomonas phytovorans	85.6061	96	0.00213528
-	AE015451.2	CIRCULAR	214242	214465	6181873	AP013070.1	196553	196776	GCA_000412675.1	Pseudomonas putida	87.5	96	0.0036235
S	AE015451.2	CIRCULAR	214466	214570	6181873	BBIS01000038.1	1428	1547	GCA_000730605.1	Pseudomonas monteilii	76.6667	95.5	0.00169851
S	AE015451.2	CIRCULAR	214571	214799	6181873	JABWRY020000012.1	674	902	GCA_014269205.2	Pseudomonas kermanshahensis	87.013	96	0.00370438
S	AE015451.2	CIRCULAR	214886	215193	6181873	CP114035.2	186262	186569	GCA_026898135.2	Pseudomonas fortuita	87.3786	96	0.00498231
-	AE015451.2	CIRCULAR	215237	215622	6181873	CP101910.1	218651	219036	GCA_024508115.1	Pseudomonas putida	83.7629	96	0.00624406
-	AE015451.2	CIRCULAR	215623	215874	6181873	UGUX01000003.1	1860763	1861014	GCA_900455645.1	Pseudomonas putida	86.1111	96	0.00407643
S	AE015451.2	CIRCULAR	215876	216845	6181873	BBIS01000038.1	2859	3846	GCA_000730605.1	Pseudomonas monteilii	81.809	95.5	0.015691
-	AE015451.2	CIRCULAR	216846	217228	6181873	JACAQQ010000001.1	221766	222148	GCA_013387005.1	Pseudomonas putida	85.1175	96	0.00619553
-	AE015451.2	CIRCULAR	217229	220543	6181873	CP101910.1	219323	222631	GCA_024508115.1	Pseudomonas putida	86.3978	96	0.0536245
-	AE015451.2	CIRCULAR	220571	226593	6181873	CP101910.1	222799	228820	GCA_024508115.1	Pseudomonas putida	89.9221	96	0.09743
-	AE015451.2	CIRCULAR	226614	231741	6181873	CP101910.1	228921	234048	GCA_024508115.1	Pseudomonas putida	90.7194	96	0.0829522
-	AE015451.2	CIRCULAR	231796	237863	6181873	CP101910.1	235294	241328	GCA_024508115.1	Pseudomonas putida	92.025	96	0.098158
-	AE015451.2	CIRCULAR	237911	245137	6181873	CP101910.1	241457	248715	GCA_024508115.1	Pseudomonas putida	89.342	96	0.116906
-	AE015451.2	CIRCULAR	245138	248333	6181873	CP101910.1	248881	252076	GCA_024508115.1	Pseudomonas putida	89.342	96	0.0516995
-	AE015451.2	CIRCULAR	248338	253325	6181873	CP101910.1	252182	257152	GCA_024508115.1	Pseudomonas putida	90.1403	96	0.0806875
S	AE015451.2	CIRCULAR	253326	255236	6181873	CP114035.2	240739	242644	GCA_026898135.2	Pseudomonas fortuita	89.9582	96	0.030913
-	AE015451.2	CIRCULAR	255237	258046	6181873	CP101910.1	275914	278724	GCA_024508115.1	Pseudomonas putida	96.7575	96	0.0454555
-	AE015451.2	CIRCULAR	258047	262760	6181873	CP101910.1	278825	283538	GCA_024508115.1	Pseudomonas putida	96.7575	96	0.0762552
S	AE015451.2	CIRCULAR	262959	263079	6181873	CP119325.1	277423	277543	GCA_029202525.1	Candidatus Pseudomonas phytovorans	91.7355	96	0.00195734
-	AE015451.2	CIRCULAR	263080	267601	6181873	CP101910.1	293751	298271	GCA_024508115.1	Pseudomonas putida	93.3658	96	0.0731494
-	AE015451.2	CIRCULAR	267641	270023	6181873	CP101910.1	298363	300745	GCA_024508115.1	Pseudomonas putida	90.9778	96	0.0385482
-	AE015451.2	CIRCULAR	270056	281301	6181873	CP101910.1	300872	312141	GCA_024508115.1	Pseudomonas putida	91.2507	96	0.181919
-	AE015451.2	CIRCULAR	281302	284593	6181873	CP101910.1	312225	315537	GCA_024508115.1	Pseudomonas putida	91.2507	96	0.0532525
-	AE015451.2	CIRCULAR	284594	288221	6181873	CP101910.1	315599	319225	GCA_024508115.1	Pseudomonas putida	91.2507	96	0.0586877
-	AE015451.2	CIRCULAR	288254	290794	6181873	CP101910.1	319435	321971	GCA_024508115.1	Pseudomonas putida	87.5343	96	0.041104
-	AE015451.2	CIRCULAR	290798	305129	6181873	CP101910.1	322042	336397	GCA_024508115.1	Pseudomonas putida	91.9905	96	0.231839
-	AE015451.2	CIRCULAR	305146	308755	6181873	CP101910.1	336493	340102	GCA_024508115.1	Pseudomonas putida	92.9125	96	0.0583965
-	AE015451.2	CIRCULAR	308854	315984	6181873	CP101910.1	340953	348080	GCA_024508115.1	Pseudomonas putida	91.2379	96	0.115353
-	AE015451.2	CIRCULAR	316069	322143	6181873	CP101910.1	348242	354314	GCA_024508115.1	Pseudomonas putida	91.4923	96	0.0982712
-	AE015451.2	CIRCULAR	322144	326035	6181873	CP101910.1	354377	358274	GCA_024508115.1	Pseudomonas putida	91.4923	96	0.0629583
-	AE015451.2	CIRCULAR	326126	332412	6181873	CP101910.1	358392	364647	GCA_024508115.1	Pseudomonas putida	90.116	96	0.101701
-	AE015451.2	CIRCULAR	332459	332868	6181873	CP101910.1	364920	365322	GCA_024508115.1	Pseudomonas putida	89.7561	96	0.00663229
-	AE015451.2	CIRCULAR	333097	333733	6181873	CP101910.1	365323	365959	GCA_024508115.1	Pseudomonas putida	96.5463	96	0.0103043
S	AE015451.2	CIRCULAR	334772	334971	6181873	JABWSB020000006.1	191729	191906	GCA_014269245.2	Pseudomonas kurunegalensis	75.3695	96	0.00323527
-	AE015451.2	CIRCULAR	334972	336186	6181873	CP101910.1	372615	373823	GCA_024508115.1	Pseudomonas putida	92.5287	96	0.0196542
S	AE015451.2	CIRCULAR	336187	336314	6181873	OPYN01000025.1	934	1058	GCA_900277125.1	Pseudomonas inefficax	75.188	96	0.00207057
-	AE015451.2	CIRCULAR	336315	342956	6181873	CP101910.1	373835	380485	GCA_024508115.1	Pseudomonas putida	93.0138	96	0.107443
-	AE015451.2	CIRCULAR	342983	343508	6181873	CP101910.1	380562	381088	GCA_024508115.1	Pseudomonas putida	93.75	96	0.00850875
S	AE015451.2	CIRCULAR	343509	343896	6181873	BBIS01000036.1	26210	26580	GCA_000730605.1	Pseudomonas monteilii	69.403	95.5	0.00627641
-	AE015451.2	CIRCULAR	344014	347970	6181873	CP101910.1	382289	386257	GCA_024508115.1	Pseudomonas putida	91.8912	96	0.0640097
-	AE015451.2	CIRCULAR	348003	360274	6181873	CP101910.1	386389	398605	GCA_024508115.1	Pseudomonas putida	91.9316	96	0.198516
-	AE015451.2	CIRCULAR	360275	363490	6181873	CP101910.1	400898	404112	GCA_024508115.1	Pseudomonas putida	91.9316	96	0.0520231
S	AE015451.2	CIRCULAR	363491	363596	6181873	OPYN01000025.1	27659	27777	GCA_900277125.1	Pseudomonas inefficax	73.5537	96	0.00171469
-	AE015451.2	CIRCULAR	363641	366573	6181873	CP101910.1	404116	407050	GCA_024508115.1	Pseudomonas putida	87.7759	96	0.0474452
S	AE015451.2	CIRCULAR	366574	368265	6181873	JABWRY020000003.1	168592	170271	GCA_014269205.2	Pseudomonas kermanshahensis	84.5927	96	0.0273703
-	AE015451.2	CIRCULAR	368266	372583	6181873	CP101910.1	407315	411645	GCA_024508115.1	Pseudomonas putida	92.2491	96	0.0698494
S	AE015451.2	CIRCULAR	372584	372720	6181873	CP114035.2	368628	368751	GCA_026898135.2	Pseudomonas fortuita	67.8571	96	0.00221616
-	AE015451.2	CIRCULAR	372721	376726	6181873	CP101910.1	411814	415816	GCA_024508115.1	Pseudomonas putida	91.44	96	0.0648024
S	AE015451.2	CIRCULAR	376727	377243	6181873	JABWRZ020000004.1	143662	144189	GCA_014269185.2	Pseudomonas oryzicola	72.3247	96	0.00836316
S	AE015451.2	CIRCULAR	377244	377610	6181873	BLJF01000002.1	206055	206422	GCA_009932335.1	Pseudomonas asiatica	70.5729	96	0.00593671
-	AE015451.2	CIRCULAR	378120	383334	6181873	CP101910.1	417548	422810	GCA_024508115.1	Pseudomonas putida	90.4437	96	0.0843595
S	AE015451.2	CIRCULAR	383335	383436	6181873	BLJF01000002.1	211310	211408	GCA_009932335.1	Pseudomonas asiatica	83.3333	96	0.00164999
-	AE015451.2	CIRCULAR	383437	385464	6181873	CP101910.1	422925	424953	GCA_024508115.1	Pseudomonas putida	88.8177	96	0.0328056
-	AE015451.2	CIRCULAR	385505	392737	6181873	CP101910.1	425065	432295	GCA_024508115.1	Pseudomonas putida	94.4567	96	0.117003
-	AE015451.2	CIRCULAR	392787	394361	6181873	CP101910.1	432450	434026	GCA_024508115.1	Pseudomonas putida	92.5808	96	0.0254777
S	AE015451.2	CIRCULAR	394362	394466	6181873	BLJG01000256.1	56	163	GCA_009932375.1	Pseudomonas juntendi	74.5455	96	0.00169851
-	AE015451.2	CIRCULAR	394467	395816	6181873	CP101910.1	434099	435449	GCA_024508115.1	Pseudomonas putida	93.4123	96	0.021838
S	AE015451.2	CIRCULAR	397089	397714	6181873	BBIS01000034.1	65829	66454	GCA_000730605.1	Pseudomonas monteilii	88.6762	95.5	0.0101264
S	AE015451.2	CIRCULAR	398582	398697	6181873	CP114035.2	396595	396708	GCA_026898135.2	Pseudomonas fortuita	69.6721	96	0.00187645
-	AE015451.2	CIRCULAR	398698	400266	6181873	CP101910.1	439619	441188	GCA_024508115.1	Pseudomonas putida	90.7702	96	0.0253807
S	AE015451.2	CIRCULAR	400277	401694	6181873	JABWRY020000001.1	1490087	1491505	GCA_014269205.2	Pseudomonas kermanshahensis	90.0704	96	0.022938
S	AE015451.2	CIRCULAR	401812	401911	6181873	OPYN01000028.1	12770	12868	GCA_900277125.1	Pseudomonas inefficax	76.4706	96	0.00161763
-	AE015451.2	CIRCULAR	401912	406220	6181873	CP101910.1	446400	450705	GCA_024508115.1	Pseudomonas putida	93.4941	96	0.0697038
-	AE015451.2	CIRCULAR	406221	413973	6181873	CP101910.1	450762	458509	GCA_024508115.1	Pseudomonas putida	93.4941	96	0.125415
S	AE015451.2	CIRCULAR	413974	414089	6181873	CP119325.1	118816	118948	GCA_029202525.1	Candidatus Pseudomonas phytovorans	60.8696	96	0.00187645
-	AE015451.2	CIRCULAR	414090	427927	6181873	CP101910.1	458650	472482	GCA_024508115.1	Pseudomonas putida	88.7938	96	0.223848
-	AE015451.2	CIRCULAR	428051	429636	6181873	CP101910.1	472573	474158	GCA_024508115.1	Pseudomonas putida	90.4222	96	0.0256557
-	AE015451.2	CIRCULAR	429669	432968	6181873	CP101910.1	474313	477607	GCA_024508115.1	Pseudomonas putida	89.2922	96	0.0533819
-	AE015451.2	CIRCULAR	433011	438395	6181873	CP101910.1	477742	483145	GCA_024508115.1	Pseudomonas putida	90.5553	96	0.0871095
-	AE015451.2	CIRCULAR	438396	447172	6181873	CP101910.1	483197	491983	GCA_024508115.1	Pseudomonas putida	90.5553	96	0.14198
-	AE015451.2	CIRCULAR	447346	450680	6181873	CP101910.1	492059	495391	GCA_024508115.1	Pseudomonas putida	90.5576	96	0.0539481
-	AE015451.2	CIRCULAR	450717	453669	6181873	CP101910.1	495460	498418	GCA_024508115.1	Pseudomonas putida	90.9459	96	0.0477687
S	AE015451.2	CIRCULAR	453670	454848	6181873	CP114035.2	453807	454986	GCA_026898135.2	Pseudomonas fortuita	90.6012	96	0.0190719
-	AE015451.2	CIRCULAR	454849	465229	6181873	CP101910.1	498470	508846	GCA_024508115.1	Pseudomonas putida	88.48	96	0.167926
-	AE015451.2	CIRCULAR	465333	466570	6181873	CP101910.1	510104	511313	GCA_024508115.1	Pseudomonas putida	87.8935	96	0.0200263
-	AE015451.2	CIRCULAR	467086	471009	6181873	CP101910.1	512177	516097	GCA_024508115.1	Pseudomonas putida	90.5732	96	0.0634759
-	AE015451.2	CIRCULAR	471049	478287	6181873	CP101910.1	516239	523476	GCA_024508115.1	Pseudomonas putida	94.1298	96	0.1171
-	AE015451.2	CIRCULAR	478323	486431	6181873	CP101910.1	523630	531719	GCA_024508115.1	Pseudomonas putida	90.2634	96	0.131174
-	AE015451.2	CIRCULAR	486485	501651	6181873	CP101910.1	531720	546881	GCA_024508115.1	Pseudomonas putida	91.3487	96	0.245346
-	AE015451.2	CIRCULAR	501695	503829	6181873	CP101910.1	547239	549375	GCA_024508115.1	Pseudomonas putida	91.7642	96	0.0345365
-	AE015451.2	CIRCULAR	503875	513996	6181873	CP101910.1	549510	559645	GCA_024508115.1	Pseudomonas putida	90.3045	96	0.163737
