GENE_ID	COG_ID	COG_CATEGORY	COG_NAME	PATHWAY	FUNC_CATEGORY_NUMBER	FUNC_CATEGORY	COG_GROUP	COG_CATEGORY_DESCRIPTION	ASSOC_COLOR
PP_RS25105	COG0014	E	Gamma-glutamyl phosphate reductase	Proline biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS07125	COG0015	F	Adenylosuccinate lyase	Purine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS20885	COG0015	F	Adenylosuccinate lyase	Purine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS12875	COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit	Aminoacyl-tRNA synthetases	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS26525	COG0018	J	Arginyl-tRNA synthetase	Aminoacyl-tRNA synthetases	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS04570	COG0019	E	Diaminopimelate decarboxylase	Lysine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS10785	COG0019	E	Diaminopimelate decarboxylase	Lysine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS15185	COG0019	E	Diaminopimelate decarboxylase	Lysine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS27235	COG0019	E	Diaminopimelate decarboxylase	Lysine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS08230	COG0020	I	Undecaprenyl pyrophosphate synthase	NA	3	METABOLISM	3	Lipid transport and metabolism	DCCCFC
PP_RS25910	COG0021	G	Transketolase	Pentose phosphate pathway	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS02925	COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	Pyruvate oxidation	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS22845	COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	Pyruvate oxidation	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS02985	COG0023	J	Translation initiation factor 1 (eIF-1/SUI1)	Translation factors	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS08205	COG0024	J	Methionine aminopeptidase	NA	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS07570	COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS08190	COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS25955	COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS27785	COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	Purine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS07520	COG0027	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	Purine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS06020	COG0028	E	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS06020	COG0028	H	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS07195	COG0028	E	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS07195	COG0028	H	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS19385	COG0028	E	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS19385	COG0028	H	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS24400	COG0028	E	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS24400	COG0028	H	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS07365	COG0029	H	Aspartate oxidase	NAD biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS02120	COG0030	J	rRNA adenine N6-methylase, includes 16S rRNA A1518 and A1519 N6-dimethyltransferase  RsmA/KsgA/DIM  and 23S rRNA A2058 N6-methylase ErmO/TlrD (may also have DNA glycosylase/AP lyase activity)	16S rRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS05785	COG0031	E	Cysteine synthase	Cysteine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS08520	COG0031	E	Cysteine synthase	Cysteine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS23805	COG0031	E	Cysteine synthase	Cysteine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS18590	COG0033	G	Phosphoglucomutase/phosphomannomutase	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS10375	COG0034	F	Glutamine phosphoribosylpyrophosphate amidotransferase	Purine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS03985	COG0035	F	Uracil phosphoribosyltransferase	Pyrimidine salvage	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS02190	COG0036	G	Pentose-5-phosphate-3-epimerase	Pentose phosphate pathway	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS08295	COG0037	J	tRNA-C32 2-thiocytidine or tRNA(Ile)-C34 C2-lysylcytidine synthase TtcA/TilS/MesJ	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS08455	COG0037	J	tRNA-C32 2-thiocytidine or tRNA(Ile)-C34 C2-lysylcytidine synthase TtcA/TilS/MesJ	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS20590	COG0038	P	H+/Cl- antiporter ClcA	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS03500	COG0039	C	Malate/lactate dehydrogenase	TCA cycle	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS05065	COG0040	E	ATP phosphoribosyltransferase	Histidine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS27790	COG0041	F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	Purine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS10285	COG0042	J	tRNA-dihydrouridine synthase	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS11250	COG0042	J	tRNA-dihydrouridine synthase	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS25150	COG0042	J	tRNA-dihydrouridine synthase	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS27165	COG0043	H	3-polyprenyl-4-hydroxybenzoate decarboxylase	Ubiquinone biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS20980	COG0044	F	Dihydroorotase or related cyclic amidohydrolase	Pyrimidine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS26080	COG0044	F	Dihydroorotase or related cyclic amidohydrolase	Pyrimidine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS21735	COG0045	C	Succinyl-CoA synthetase, beta subunit	TCA cycle	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS05415	COG0046	F	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	Purine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS05415	COG0047	F	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	Purine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS02390	COG0048	J	Ribosomal protein S12	Ribosome 30S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02395	COG0049	J	Ribosomal protein S7	Ribosome 30S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02340	COG0050	J	Translation elongation factor EF-Tu, a GTPase	Translation factors	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02405	COG0050	J	Translation elongation factor EF-Tu, a GTPase	Translation factors	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS08210	COG0052	J	Ribosomal protein S2	Ribosome 30S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS24920	COG0053	P	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS02740	COG0054	H	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	Riboflavin/FAD biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS28210	COG0055	C	FoF1-type ATP synthase, beta subunit	FoF1-type ATP synthase	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS28220	COG0056	C	FoF1-type ATP synthase, alpha subunit	FoF1-type ATP synthase	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS05275	COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	Glycolysis	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS11150	COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	Glycolysis	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS25905	COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	Glycolysis	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS26290	COG0058	G	Glucan phosphorylase	NA	3	METABOLISM	3	Carbohydrate transport and metabolism	CCFCFC
PP_RS24390	COG0059	E	Ketol-acid reductoisomerase	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS24390	COG0059	H	Ketol-acid reductoisomerase	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS03200	COG0060	J	Isoleucyl-tRNA synthetase	Aminoacyl-tRNA synthetases	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS10455	COG0061	H	NAD kinase	NA	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS25575	COG0063	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase (NAXD) domain	NA	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS04890	COG0064	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	Aminoacyl-tRNA synthetases	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS10305	COG0065	E	Homoaconitase/3-isopropylmalate dehydratase large subunit	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS10310	COG0066	E	3-isopropylmalate dehydratase small subunit	Isoleucine, leucine, valine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS26460	COG0067	E	Glutamate synthase domain 1	Glutamine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS01415	COG0069	E	Glutamate synthase domain 2	Glutamine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS05530	COG0069	E	Glutamate synthase domain 2	Glutamine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS26460	COG0069	E	Glutamate synthase domain 2	Glutamine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS26460	COG0070	E	Glutamate synthase domain 3	Glutamine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS10290	COG0071	O	Small heat shock protein IbpA, HSP20 family	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS16860	COG0071	O	Small heat shock protein IbpA, HSP20 family	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS17270	COG0071	O	Small heat shock protein IbpA, HSP20 family	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS17275	COG0071	O	Small heat shock protein IbpA, HSP20 family	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS17280	COG0071	O	Small heat shock protein IbpA, HSP20 family	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Posttranslational modification, protein turnover, chaperones	9CFC9C
PP_RS12880	COG0072	J	Phenylalanyl-tRNA synthetase beta subunit	Aminoacyl-tRNA synthetases	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS05710	COG0073	J	tRNA-binding EMAP/Myf domain	NA	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS12880	COG0073	J	tRNA-binding EMAP/Myf domain	NA	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS21730	COG0074	C	Succinyl-CoA synthetase, alpha subunit	TCA cycle	3	METABOLISM	3	Energy production and conversion	BCFCFC
PP_RS11455	COG0075	E	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	Serine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS11455	COG0075	F	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	Serine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS13325	COG0076	E	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	Pantothenate/CoA biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS09090	COG0077	E	Prephenate dehydratase	Aromatic amino acid biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS05230	COG0078	E	Ornithine carbamoyltransferase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS05625	COG0078	E	Ornithine carbamoyltransferase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS05075	COG0079	E	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	Cobalamine/B12 biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS08625	COG0079	E	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	Cobalamine/B12 biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS02360	COG0080	J	Ribosomal protein L11	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02365	COG0081	J	Ribosomal protein L1	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS09405	COG0082	E	Chorismate synthase	Aromatic amino acid biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS04200	COG0084	N	3'->5' ssDNA/RNA exonuclease TatD	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Cell motility	CCFCAC
PP_RS10185	COG0084	N	3'->5' ssDNA/RNA exonuclease TatD	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Cell motility	CCFCAC
PP_RS12070	COG0084	N	3'->5' ssDNA/RNA exonuclease TatD	NA	2	CELLULAR PROCESSES AND SIGNALING	2	Cell motility	CCFCAC
PP_RS02380	COG0085	K	DNA-directed RNA polymerase, beta subunit/140 kD subunit	RNA polymerase	1	INFORMATION STORAGE AND PROCESSING	1	Transcription	FCDCEC
PP_RS02385	COG0086	K	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	RNA polymerase	1	INFORMATION STORAGE AND PROCESSING	1	Transcription	FCDCEC
PP_RS02415	COG0087	J	Ribosomal protein L3	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02420	COG0088	J	Ribosomal protein L4	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02425	COG0089	J	Ribosomal protein L23	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02430	COG0090	J	Ribosomal protein L2	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02440	COG0091	J	Ribosomal protein L22	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02445	COG0092	J	Ribosomal protein S3	Ribosome 30S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02465	COG0093	J	Ribosomal protein L14	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02475	COG0094	J	Ribosomal protein L5	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02225	COG0095	H	Lipoate-protein ligase A	Lipoate biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS02485	COG0096	J	Ribosomal protein S8	Ribosome 30S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02490	COG0097	J	Ribosomal protein L6P/L9E	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02500	COG0098	J	Ribosomal protein S5	Ribosome 30S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02525	COG0099	J	Ribosomal protein S13	Ribosome 30S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS02530	COG0100	J	Ribosomal protein S11	Ribosome 30S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS10345	COG0101	J	tRNA U38,U39,U40 pseudouridine synthase TruA	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS06805	COG0102	J	Ribosomal protein L13	Ribosome 50S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS06810	COG0103	J	Ribosomal protein S9	Ribosome 30S subunit	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS25525	COG0104	F	Adenylosuccinate synthase	Purine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS04495	COG0105	F	Nucleoside diphosphate kinase	Pyrimidine biosynthesis	3	METABOLISM	3	Nucleotide transport and metabolism	DCECFC
PP_RS01560	COG0106	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	Histidine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS01565	COG0107	E	Imidazole glycerol phosphate synthase subunit HisF	Histidine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS02735	COG0108	H	3,4-dihydroxy-2-butanone 4-phosphate synthase	Riboflavin/FAD biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS02805	COG0108	H	3,4-dihydroxy-2-butanone 4-phosphate synthase	Riboflavin/FAD biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS19845	COG0108	H	3,4-dihydroxy-2-butanone 4-phosphate synthase	Riboflavin/FAD biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS00565	COG0109	H	Polyprenyltransferase (heme O synthase)	NA	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS00565	COG0109	I	Polyprenyltransferase (heme O synthase)	NA	3	METABOLISM	3	Lipid transport and metabolism	DCCCFC
PP_RS04320	COG0109	H	Polyprenyltransferase (heme O synthase)	NA	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS04320	COG0109	I	Polyprenyltransferase (heme O synthase)	NA	3	METABOLISM	3	Lipid transport and metabolism	DCCCFC
PP_RS16345	COG0110	R	Acetyltransferase, isoleucine patch superfamily	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS26900	COG0110	R	Acetyltransferase, isoleucine patch superfamily	NA	4	POORLY CHARACTERIZED	4	General function prediction only	E0E0E0
PP_RS10990	COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase	Serine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS13225	COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase	Serine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS16810	COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase	Serine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS23900	COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase	Serine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS26860	COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase	Serine biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS01715	COG0112	E	Glycine/serine hydroxymethyltransferase	Serine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS03590	COG0112	E	Glycine/serine hydroxymethyltransferase	Serine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS15110	COG0113	H	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	Heme biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
